Force [N],Area [m2],Length [m]
56,0.0000785,1.003
87,0.0000785,1.004
116,0.0000785,1.006
135,0.0000784,1.007
159,0.0000784,1.008
132,0.0000783,1.01
211,0.0000783,1.013
236,0.0000783,1.014
272,0.0000783,1.016
288,0.0000782,1.017
310,0.000078,1.021
252,0.0000779,1.022
344,0.0000779,1.024
367,0.0000778,1.026
395,0.0000779,1.029
428,0.0000777,1.032
451,0.0000775,1.036
459,0.0000771,1.038
327,0.0000768,1.045
482,0.0000767,1.048
497,0.0000765,1.053
510,0.0000762,1.059
521,0.0000751,1.067
529,0.0000742,1.074
464,0.0000724,1.083
545,0.0000705,1.091
567,0.0000678,1.112
580,0.0000638,1.135
592,0.0000618,1.167
