# current, current_err, voltage, voltage_err
4.53,0.73,249.90,0.53
5.31,0.61,263.25,0.90
5.90,0.67,274.52,0.82
6.52,0.81,287.13,0.84
6.17,0.98,299.54,0.80
6.25,0.82,313.20,0.55
6.31,0.57,324.45,0.95
6.27,0.51,338.18,0.65
6.83,0.52,349.95,0.61
7.22,0.85,361.50,0.85
6.34,0.70,374.83,0.71
7.95,0.62,387.76,0.69
7.88,0.61,399.81,0.65
7.31,0.92,412.14,0.74
8.08,0.84,424.66,0.83
8.62,0.55,439.21,0.68
10.08,0.55,449.66,0.93
8.94,0.86,461.91,0.97
9.14,0.97,474.48,0.58
9.30,0.50,486.55,0.97
9.59,0.98,500.93,0.82
