mx,my,mz
0.513436643,0.843342544,0.158606957
0.566048334,0.735518232,0.391448111
0.420318649,0.776223229,0.442570497
0.055773939,0.596263962,0.425266558
0.531591953,0.57507222,0.1611440423
0.383957141,0.443544171,0.630034163
0.662113632,0.863857121,1.034440872
0.457034734,0.065736419,0.023399494
0.686776558,0.511747185,0.662058989
0.659229038,0.485869045,0.39688461
0.389123438,0.791311933,1.039309102
0.563532699,0.76020562,0.772738333
0.132546123,0.830964218,0.08712185
0.582424168,0.604194347,0.839749721
0.535198468,1.014469343,1.901752203
0.518337953,0.725016106,0.841401552
0.333234797,0.090648097,0.589011057
0.653836326,0.363678138,0.745575915
0.223690534,0.203582465,0.836999496
