Power	Current
(Watts)	(Amps)
1	0.141750273
2	0.19920149
3	0.246700429
4	0.286227901
5	0.316552755
6	0.348185023
7	0.375840324
8	0.403508678
9	0.425590505
10	0.452199349
11	0.468464066
12	0.493602563
13	0.506094988
14	0.529097731
15	0.54510825
16	0.568520322
17	0.588858538
18	0.596090327
19	0.615293946
20	0.636233653
21	0.653818699
22	0.669872901
23	0.672626746
24	0.68509312
25	0.714523294
26	0.718263505
27	0.743192388
28	0.749521203
29	0.757286386
30	0.771197338
31	0.780253163
32	0.797792214
33	0.807756978
34	0.829084589
35	0.841349981
36	0.844884197
37	0.868481154
38	0.878405064
39	0.878986955
40	0.888079576
